[2024-06-12 21:48:44,266: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 21:59:08,925: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 21:59:54,751: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 22:00:03,638: WARNING: module_wrapper]: From C:\Users\skaur\AppData\Local\Programs\Python\Python312\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2024-06-12 22:00:04,036: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 22:02:37,784: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 22:02:45,396: WARNING: module_wrapper]: From C:\Users\skaur\AppData\Local\Programs\Python\Python312\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2024-06-12 22:02:45,762: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 22:02:51,838: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 22:02:59,939: WARNING: module_wrapper]: From C:\Users\skaur\AppData\Local\Programs\Python\Python312\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2024-06-12 22:03:00,316: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 22:26:04,647: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 22:26:15,416: WARNING: module_wrapper]: From C:\Users\skaur\AppData\Local\Programs\Python\Python312\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2024-06-12 22:26:15,806: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 23:12:54,980: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-12 23:13:06,479: WARNING: module_wrapper]: From C:\Users\skaur\AppData\Local\Programs\Python\Python312\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2024-06-12 23:13:06,961: INFO: utils]: yaml file: config.yaml loaded successfully
[2024-06-14 21:36:42,862: INFO: utils]: yaml file: config.yaml loaded successfully
